,LNZLP,RUSI,ROST,SAGO,PHOR,STSB,SFIN
0,-0.0034742362681862,0.0049875415110391,-0.0028449521322313,0.0098200461809755,-0.0090703569699642,0.0117945764928368,0.0045445234173222
1,0.0126802851759092,0.2221480310727081,-0.0114614435190065,0.0129451645920369,0.0182828701647636,-0.0084104785085964,-0.0103584932827422
2,-0.0068965790590603,-0.1093525369273637,0.0028776998276149,-0.0194811355718225,0.0031263982589158,0.0200675630508093,0.0045709616258227
3,0.0091849095770725,-0.054808236494995,-0.0115608224010759,0.0696483942898417,0.0048932481977517,-0.0066445427186686,-0.0029063753072144
4,0.0,0.1193467576325662,0.0086831225734608,0.021180822079447,-0.0165551879455947,0.007472014838701,-0.0004158868847633
5,-0.0126511175535588,0.1140724562598478,-0.0174423026633424,-0.0273158106469629,-0.0047484543716604,0.0,0.0004158868847633
6,0.016073824831061,0.261792182072026,0.0116619397478429,-0.0155041865359653,-0.0038605702541157,-0.0217399866364058,0.0004157139947625
7,-0.0091533819864872,0.3327867287640369,0.0028943580263645,-0.0094192219164916,-0.0146690689046507,-0.0093418938414289,-0.0033305609471646
8,-0.0080785205652014,-0.2703964361647553,-0.0028943580263645,0.0094192219164915,0.0027668913201952,0.0152416159686172,0.0124328165919293
9,0.0057770235769223,-0.0811634071072068,-0.0029027596579614,-0.0414732482065751,0.0022999090174757,-0.0025241914959069,-0.0161930048535793
10,-0.002306806097915,0.0400053346136994,0.017291497110061,0.0161554402222852,0.0016067947907825,0.0042034530156269,-0.0164595401876048
11,0.0,0.0194180858571015,0.0,-0.0032102756302482,0.003663007758737,0.0008385744726211,-0.0012774112871811
12,0.0069045153465444,-0.0041293933420111,-0.0143887374520995,0.0191088616980465,-0.0050401023073244,-0.0092632241318727,0.0093300083077621
13,0.0045766670274118,-0.0365209126208644,0.0,-0.0063291350516475,0.0068665868333588,0.0042211966436245,-0.0135998696199275
14,0.0,-0.0129591446425052,0.0115275051710674,-0.0031796529173796,-0.0020550298361366,0.003364174745632,0.0110639426480498
15,0.0113508596686894,-0.0058139698654199,-0.0086331471447027,0.0095087879690273,-0.0163616969500945,0.0058602093200944,-0.0076465963065281
16,-0.0159275266961013,-0.0117303397854896,0.0312970067219147,-0.0255604969795352,0.013156566001146,0.011618387953865,-0.0051304088589497
17,-0.0022962122603502,0.0044150182091166,0.0221615718028523,0.0128619136424078,-0.0066720597218852,-0.0455775084963192,-0.0051568657469929
18,0.0011487652038733,0.0116789648641462,-0.0476948738080172,-0.0096308930609613,-0.0002308669062546,0.0505157901369017,-0.0090890043571959
19,0.0114156490836767,0.0834977125035608,0.0085837436913916,0.0032206147000421,-0.0085797627759003,0.0049140148024291,-0.0021762794225955
20,0.0079141170559905,-0.0520665537139787,-0.0057143012634387,0.012779726646399,0.011807059260766,0.00244798163864,-0.0078740564309059
21,0.0067340321813441,0.0056101128907667,-0.0086331471447027,-0.0095694510161506,0.0388222979551117,0.038374012881615,-0.0008787346786887
22,-0.0101181301655846,-0.0501897445238552,-0.0087083278917844,0.0127390257774297,-0.0208037924524333,0.0331692574699261,-0.0070578149170474
23,-0.0022624444039695,0.0029368596733097,0.0,-0.0063492276786587,0.0329064817125305,0.0007584376548619,-0.0039920212695374
24,0.0,-0.0403944222082102,-0.0058479698824229,-0.0192932029346788,-0.0046037568980592,-0.0222316553615967,0.0022197567383128
25,0.0464685369084651,0.0,-0.0207414843068164,0.0288019909037061,0.0032905590730988,-0.0219444542545593,0.0066298585386695
26,-0.0363276049324157,-0.0138357318526501,0.0059701669865039,-0.0191088616980464,0.0162923121514349,0.0039541372199804,0.0131292914417928
27,0.0199784669308862,-0.0203290816384256,0.0,0.0253981906056104,-0.0141046061815419,-0.0296377319546758,-0.0065430985889359
28,-0.0110498361865849,-0.0288481543376582,-0.0029806281381377,-0.0157981168765911,-0.016525659766701,0.0,-0.0043859719432543
29,0.0,-0.0568715109546066,-0.0120121564480035,-0.006389798098771,0.0342865771513536,0.0137264973135733,0.0065717651632345
30,0.009950330853168,-0.0191143960233154,0.0120121564480034,-0.0129034048359079,0.0021445429621602,0.0095770883643105,0.0026166608911716
31,-0.0044101504775527,0.1079886380640957,0.0118695755553837,0.003241493924171,0.005341322387971,0.0023800090568113,-0.0078706134323294
32,-0.0099945307249956,-0.0206849061535121,-0.0059171770280883,0.0128619136424078,0.0063721541016994,0.059225302590014,0.0096112579101135
33,0.0187954676200379,-0.0032206147000422,0.0,0.0,-0.0012711866118554,0.0643517972083571,-0.0126888598116826
34,0.3355329754375709,-0.0344578799236879,0.0,0.0031897953681,0.00549684259332,-0.0183750753049943,0.0
35,0.1201295365375069,-0.0151390612156841,0.0,0.0220481372217626,0.0044178045976089,0.0371061120110575,0.0021992531406631
36,-0.0175135824927083,-0.0119353505492727,0.0,-0.0316482109507817,0.0407212337765556,-0.0103627870355466,-0.0097131006464999
37,-0.0619505888615385,-0.0225508255218964,-0.0089419373756613,0.0,-0.0050510259928834,0.0089872710002366,-0.0013318536929894
38,0.0310905870700311,0.0546210844802251,0.0059701669865039,0.006410278360919,0.0020234729688457,-0.0089872710002366,0.0132393813776558
39,0.0137533836376123,0.029462032730316,-0.0029806281381377,-0.006410278360919,0.01345266749053,0.0448140157897926,-0.0048341118089396
40,0.0199294852365997,-0.0016142053545411,0.0029806281381379,-0.0064516352814887,0.0175946023457328,0.0092532054804831,0.0057105360543472
41,-0.0134801615566926,0.0032258092488827,-0.0029806281381377,0.050483905431992,-0.0324632708820032,0.0808520966290947,0.0056781109096613
42,0.002140564499111,-0.0162341227618834,-0.0059880418446226,-0.0280829687428253,0.0150680902140677,-0.0036474204570435,-0.0109482153338985
43,-0.0179796285288571,-0.0181673039554489,0.0059880418446226,0.0732034040232949,-0.0351055628980321,-0.0647821561734943,0.0105125803890869
44,-0.0058224327514332,-0.0339015516756813,-0.0059880418446226,-0.0058997221271882,0.0006193868268627,0.0313425079682019,-0.0056805920726246
45,-0.0095343589873014,0.0858612906063923,0.011940440371918,-0.0119049025063184,0.0171888823805112,-0.0082200905473476,-0.0145665784627052
46,-0.0133533141436966,0.0,0.0029629651306568,0.0860128746600401,0.0020267538352471,-0.0076482208382568,0.0123731141044238
47,-0.0165666439478915,-0.0272671263403395,0.0117648415795864,-0.0565122102633423,0.0082670094780737,0.0076482208382568,0.0074382316255765
48,-0.0602450431441985,-0.0098040000966208,-0.0176995770994009,-0.0205587270210364,-0.0217201271751924,-0.0283341556020496,-0.0065602684436317
49,0.0167936773658369,0.0081766604372455,-0.0059701669865039,-0.0362577480226242,-0.0109358357988601,0.0032605180499337,0.0091723726715568
50,-0.0007933360193958,-0.0297542610817926,0.0,0.0152674721307883,-0.0020768439448391,-0.0170719838986475,-0.0069808311413402
51,0.0,-0.0084246496592515,0.0,-0.0276515313305101,-0.0195240798155451,-0.0053120974848899,-0.0035087755296793
52,0.0,0.0332809417654971,0.0119049025063182,0.0031104224143925,0.014104012346206,-0.0561406817287736,-0.0013189713936782
53,0.0079051795071132,-0.0181673039554489,-0.0059347355198144,-0.0347586333651741,0.0219152868384499,-0.0220728078409626,0.0039517065694775
54,-0.0079051795071132,0.0049875415110389,0.0118344576470027,-0.0032206147000421,-0.033267100982939,-0.0188959110578111,0.0034995661262643
55,0.023530497410194,-0.0201011793210871,-0.0118344576470027,-0.0032310205814464,0.018641235154354,-0.0404246657866326,0.028413448223192
56,-0.0283037761628518,0.020101179321087,0.0029717703891574,0.0318498258870991,-0.0041588747820872,-0.0107527917762618,0.0143281001540791
57,-0.0274875834655637,-0.0201011793210871,0.0059171770280885,0.0093604427595636,0.0056104043267314,0.0053908486348765,0.0008364701449659
58,-0.0008200082460307,0.0067453881395314,-0.0059171770280883,-0.0093604427595636,-0.0056104043267314,-0.0304117004180235,-0.0177145079323176
59,-0.0123815036125051,-0.015241615968617,0.0,-0.0157981168765911,-0.0004168403561815,-0.0127491766704545,-0.0089763372538636
60,-0.7495241917424353,-0.0120173120040174,0.011799546931155,0.0189280098855188,-0.0016691011594545,0.0174885220343511,-0.0012889368057312
61,-0.217011250012146,0.0120173120040174,-0.0088365818004981,0.0337973795832907,0.0010435146517203,0.0210534091978324,-0.000430015057153
62,-0.0469359890185948,0.0236098656391336,0.0029542118974316,-0.0091047669929192,0.0016673617868688,-0.0069686693160934,0.0047200259266609
63,0.1246245674731001,0.0165293019512105,-0.0088889474172459,0.0181273845925567,-0.0020846369859132,-0.0046729056993923,-0.0085985052552317
64,0.1017175243793252,-0.0165293019512105,0.0029717703891574,0.0059701669865037,-0.0170476610952441,0.0031176954325859,-0.0051948168771039
65,0.3349068827925757,-0.0100503358535014,-0.0059523985272953,-0.0519200571783597,-0.015616960884564,-0.0180609542281616,-0.0153075370359401
66,-0.1459166138035831,0.0033613477027049,-0.0059880418446226,0.0031298930089275,0.007304006692586,-0.0007927071362389,-0.0048597400702343
67,-0.0623254631978288,-0.006734032181344,-0.0090498355199178,0.0031201273362436,0.0078883257354915,0.0319964868035951,0.0123240996451484
68,-0.080310696419613,0.0117549632314436,0.0060423144559626,0.0,-0.0006372809562468,0.0053619431413853,-0.000875273578855
69,0.0525990617112749,-0.0083822787528043,0.0238106486937183,0.0215724852541279,-0.0040455713646017,-0.0153967629707125,0.0069808311413401
70,0.0212599994268493,-0.0135595297856322,-0.0118344576470027,-0.0246926125903715,0.0034078840223419,0.0084975405104407,0.0108109161042156
71,-0.0262310121488697,-0.0189497487796622,-0.0059701669865039,0.0307716586667536,-0.0141329975535871,0.0068992224602717,0.0012894908298719
72,-0.0066666913581893,0.0017376198985408,0.0148591144037499,-0.0060790460763822,0.0060202288899834,0.0007636502852973,-0.0151485259934239
73,-0.010084119066626,-0.0052219439811517,-0.0088889474172459,0.0151288815963,0.011297146686176,0.0,0.0
74,-0.0118947876521492,0.024139103113357,-0.0029806281381377,0.0,-0.0173173755761594,-0.0169365095308982,0.0065203447700857
75,-0.0508435529812741,-0.0119967162876314,0.0029806281381379,0.0059880418446226,-0.0165257076797603,0.0,-0.0082663076754235
76,-0.0366341331797803,-0.0017256259674698,0.0029717703891574,-0.002989538848366,0.0154468425411306,-0.0109290705321903,-0.0048171759454392
77,0.0276006480821125,-0.0034602110648956,0.0059171770280885,0.0089419373756612,-0.0045439870461256,-0.0078802614253059,-0.0013178126220766
78,-0.0036363676433838,0.0034602110648956,-0.0029542118974315,0.0263558447053624,-0.0013020835172983,-0.003169574761279,-0.0083867187671012
79,-0.0128324400698844,0.0017256259674698,0.0,-0.0057971176843259,0.0023858594985283,0.0063291350516475,-0.0048878124415947
80,-0.0280654528982838,-0.0051858370323654,-0.0059347355198144,0.017291497110061,0.0330273973281715,-0.0015785322930497,0.0115147419292038
81,-0.0018993358036525,-0.0017346058122083,-0.0029806281381377,-0.0114943794257351,-0.0039903444736261,-0.0055445686597744,0.003955179842928
82,-0.0038095284166677,0.0,0.0029806281381379,0.0114943794257352,-0.0037950709685516,0.0473139815360694,0.0008768084735343
83,-0.0389154162496735,-0.0052219439811517,-0.0059701669865039,-0.0057306747089849,0.0014775728281889,0.0007572889419087,0.0056805920726245
84,-0.0322608622182214,-0.0017467253349415,0.0,-0.0115608224010759,-0.0042274423558316,0.0,-0.0109530120191972
85,-0.0354573118367294,0.0017467253349415,0.0,0.0,-0.0012717254787288,-0.0007572889419086,-0.0004406256956065
86,-0.0085288363475204,0.0155847310166983,0.335188264692197,0.011560822401076,-0.0188402061605582,0.0052890187517908,0.0004406256956066
87,0.0939465875018722,-0.0051679701584426,0.1321921664969471,-0.0173917427118689,-0.0060698213670757,-0.0075643325889264,-0.0026466711523747
88,-0.0581909384541378,-0.0017286089006177,-0.1343357900401985,-0.0029282597790883,0.0052049564483016,-0.0122232232307757,-0.0200765163904796
89,0.0184242673260585,-0.0017316021642778,-0.0944521788936881,-0.0147713173203125,-0.0082537392976602,0.0,0.0156497716671275
90,0.0060667526822373,-0.0104530568520893,-0.0657971745447671,0.0,0.0010899183640256,0.0046012351117166,0.0083941292528216
91,-0.0040404095370049,0.0017497817237877,-0.0075853713892567,0.0,0.0049983805032297,-0.0069098163601865,0.0004398504579381
92,-0.0101730277130505,0.0121634861931971,0.0250639686632162,0.0379607622392227,0.0064823044621011,0.0061444125723409,-0.0044072349874077
93,-0.0020470836217247,-0.0034602110648956,-0.0429901849313681,0.0028612322810321,-0.000861883268178,0.0007654037878455,-0.0039831873862948
94,-0.0020512827705573,-0.0034722257107492,-0.007782140442055,-0.0143887374520996,0.0023683938296582,0.0030557701394778,-0.0008873115045342
95,-0.0103200090319894,0.0103807160545608,0.025708356710207,-0.0058139698654197,0.0106952891167479,-0.0084259403140717,-0.03523399690946
96,0.0,-0.0103807160545608,-0.0309303006913585,0.0,0.0363524464870016,0.0355156329607359,0.01867510434439
97,0.0062047768868828,0.0034722257107492,0.0707365510917782,-0.0029197101033347,-0.0247182592056608,-0.0142058463739847,-0.0013547078161246
98,-0.0062047768868828,-0.0017346058122083,-0.02719574280849,0.0,-0.0165398172536045,-0.0144105641264793,0.0058571917844403
99,-0.0041580101486636,-0.0069686693160933,-0.0100756519887415,0.0,0.0099990195913666,-0.0015290522856779,0.0017953326186743
100,0.0144780191806532,0.0034904049397683,0.0125787822068601,0.0058309203107931,0.0161683312136874,0.0106545908981034,0.0022396425935046
101,0.0020512827705573,-0.0034904049397684,-0.0176549352387208,-0.0029112102074583,0.0208190555571175,0.0142805884226319,-0.0071845841150753
102,-0.014448135747386,-0.0035026305512021,-0.0025477720787985,0.0029112102074583,0.007114574170805,-0.0112571545246345,0.0134290290267218
103,-0.0104494158743411,0.0,-0.0051151006667704,0.0,-0.0227398920738858,-0.0030234338979972,-0.0125281280648883
104,-0.0084388686458645,0.0087336799687546,0.0,0.0086831225734608,-0.0002072324118907,0.0067899166934743,0.0017993707059132
105,-0.0214140945038165,-0.0034843240826109,-0.0207261305171168,0.066877282660576,0.016852022316817,-0.0075472056353829,-0.0072169911802233
106,-0.0240975515790605,-0.0158314652166806,0.0104167608582555,-0.0469051494736607,0.0463903223593074,0.0037807228399059,-0.004537212865356
107,-0.0133930573364381,0.001771479648382,-0.007802380284185,0.0168071183163811,-0.0174668359811582,0.1079232667400952,-0.003188342486855
108,0.0022446698538239,-0.0053238812527498,0.0052083451071382,0.008298802814695,0.0120044735893181,-0.0478759480460287,-0.0022836273911383
109,0.0089286307443013,0.0017777782459991,-0.0026007817000573,-0.0138698478641505,-0.0348328577985078,-0.0164819209367742,0.0004571428651041
110,-0.0111733005981251,0.008841790581461,-0.0078431774610257,0.0221003470006659,-0.0054839174702966,-0.0028943580263645,-0.0165902422601969
111,-0.0090294067193942,-0.0124005131984549,-0.0079051795071133,0.0108696722369038,0.0211594796074697,0.1226023220923324,-0.0037243990909823
112,-0.0045454623716746,-0.0017841217935014,-0.0106383982050557,0.0319176029683051,0.025591947872114,-0.0325761704346127,0.0004663091714246
113,-0.0183913229714235,0.0053428444104954,0.026386755173195,0.0309303006913585,-0.029187636923945,-0.0173685060816442,0.0065055991526899
114,-0.0282371701816101,0.0053144500634926,-0.0290641329439113,-0.0102041701742417,0.0101543928768441,0.037041271680349,0.0023132094515647
115,-0.0389343579754547,0.0070422826254129,0.0080107237460789,-0.0025673955052458,-0.0057614145661153,0.0641325946046986,0.0050703035564122
116,-0.0405118689169012,-0.0411875584066145,-0.0160861377516243,-0.0077419741536153,0.0218749485098815,0.0761938411526527,-0.0050703035564123
117,0.1662586978644228,0.0252721031007151,0.0053908486348765,-0.0156661167443994,-0.0139368238728791,-0.0414806011207188,0.0018467225931647
118,-0.031113620849069,0.0176683041333138,-0.0026917916657114,-0.0266682470821612,0.0102262444763433,-0.026827242233144,-0.0013847221229466
119,0.002254792387089,-0.0105634785095692,-0.0163047090249436,0.0053908486348763,0.0007823196174472,-0.0091047669929192,-0.0009242144835314
120,-0.029716472328477,-0.0017714796483821,0.0,0.0212773984472848,-0.0175529602821894,-0.0012202564052293,0.0018475755833001
121,-0.0069848945219509,-0.0071174677688639,-0.024966622730461,0.0052493558861437,0.0061489829764455,-0.0266022491940696,-0.009272203657578
122,-0.0070340266573799,-0.0107720969819111,-0.0284919557943061,0.007822725681209,0.0533280036619764,0.0180185055026784,-0.0051365977986955
123,0.0046948443042076,0.007194275634027,0.1324469898433974,0.010336009330662,0.0395163055839416,0.067842785103714,0.0028050509276086
124,0.0208582301204097,0.0089206657583793,-0.0127390257774297,0.0671059166428169,0.0333186942759698,-0.0435106844441834,0.007441894810386
125,0.0136676387286638,-0.0125113338891079,-0.0207261305171168,-0.0292703823001131,-0.0062948275702891,0.0095694510161506,-0.0013911432802318
126,-0.0068104690025267,0.0035906681307285,-0.0026212334798743,0.0196084713883761,-0.0198412177618837,0.0689928714869514,-0.0037192046590671
127,0.0113251493570535,0.0035778213478841,-0.0132102317368064,0.118861202876729,-0.0084449338467744,0.072320661579626,-0.0042007062937904
128,-0.002254792387089,-0.0089686699827603,-0.008010723746079,0.0043010818993907,0.0342323041405474,-0.0706553822605649,0.0134729099513685
129,-0.0045248945982896,0.0,-0.0107817756032883,-0.0021482285382896,0.0337736736943515,0.0186818620118083,-0.0078758804146504
130,0.0045248945982897,-0.0090498355199179,-0.0054347959859568,-0.0129871955268111,0.014061162371853,-0.0839971684073254,0.0023228814161397
131,0.0,0.001816530926398,-0.002728514653204,0.0,0.0004985459180951,0.0152764427922402,0.0023174981403624
132,-0.0045248945982896,0.0197670407407765,0.0,0.0194180858571015,-0.0221746025195094,0.0069727185466382,0.0174396342853559
133,-0.0114026320978116,-0.0125337361472565,0.0108696722369038,-0.0129034048359079,-0.0027215529640754,-0.0040615083391799,0.0045392724334193
134,-0.0069045153465444,-0.0018034269991506,-0.0273989741881143,-0.0021668480850903,-0.0292079865915686,-0.0005815644246494,0.0112588444431719
135,-0.011614532420693,-0.0145457110023787,0.0273989741881143,0.0486868637199831,0.0261373598186036,-0.018790922836881,0.0040223517919473
136,-0.0070340266573799,-0.0018331810816609,-0.0108696722369038,0.1458518770125633,-0.0094413198096201,-0.0337584799249544,-0.0076114090317645
137,-0.0047169898781389,-0.0018365478073015,0.0027285146532041,0.0316370849431824,-0.0166960400089835,0.006112488469077,0.010728757358975
138,0.0023612761856796,-0.0223057575142981,-0.0109590137897196,-0.0904775849661158,0.0104676461718564,-0.0215591965833838,0.0004445432391501
139,0.0,0.0223057575142981,0.0054945193176407,0.0037807228399061,-0.0281609598244199,0.0018662524856762,-0.0224728558520586
140,-0.0023612761856798,-0.0018399269220071,-0.0027434859457508,0.1389412611637293,0.0099467960414586,-0.0181880209713706,0.0104002746177893
141,0.0,0.0018399269220072,-0.0110498361865849,-0.0300022503037989,0.0007067138103323,0.0188093319574962,0.0116280379951189
142,0.0,-0.0092336759469454,0.2253633080525226,-0.0239737508979986,-0.0076234745596466,-0.0238854849893568,-0.0075876284581142
143,-0.0047393453638965,-0.0018570107472127,-0.1300531282481977,0.013769580723757,0.0351465496132852,-0.0057416425676752,-0.0022426562438339
144,0.0,-0.0037243990909823,0.2510338052960421,-0.0189824509122901,-0.0006875215121282,0.0164978361152393,0.0138240774522397
145,0.0,-0.0018674141747954,0.0233020252028443,-0.0140353181163834,0.0168787571991319,-0.0056800405157034,-0.0147225501092668
146,-0.0047619137602437,-0.0112783150377071,-0.0532145245654445,0.0,-0.0213592058454462,-0.0069863732879799,0.013393057336438
147,0.0305546683219726,0.0018885746878681,-0.0844383191465745,0.0227083993698122,0.0034482792789159,-0.0115385895564937,-0.0022197567383128
148,-0.0139862419747398,-0.0018885746878681,0.0239402075460084,-0.0069324367756447,-0.0217494436613204,-0.0012903227596701,0.0
149,-0.0118065125869889,-0.0171596202828262,-0.0327898228229908,0.0257524961024147,0.0195094151550964,-0.0006457862671961,-0.0022246950221111
150,-0.0047619137602437,-0.0292703823001132,-0.0044543503493803,-0.0188200593267699,-0.0003450655658808,-0.0288355496398872,-0.0008912656561463
151,0.0047619137602437,-0.0240492552326697,-0.0022346378014161,-0.0017286089006177,0.0044765914978833,0.0092654534457901,0.0132862893323349
152,-0.0047619137602437,0.0040485885260003,-0.0180591815383975,0.037355786543769,-0.0039590377901346,0.0032883949395864,0.0230495092260665
153,-0.0120049460968233,-0.0245411089161176,-0.0183913229714235,-0.0339015516756813,-0.0090090699423659,-0.0132189631421873,0.0329839625764884
154,-0.0394139685408766,-0.0062305497506359,-0.0378295698730494,0.0153980801111216,-0.0366899815061309,0.0486951116528452,0.0132233331746894
155,-0.0075662403833158,-0.0210534091978323,-0.0368139731227163,-0.0205839171434871,0.0342505309149586,-0.0354761485106578,0.0004104247954186
156,0.0323814095030397,-0.0085470605784584,0.0124225199985571,-0.0017346058122083,0.0186662868742103,-0.0172189684755332,0.0028682666662797
157,0.0097561749453646,-0.0064585800394119,-0.0099256397999699,0.0240148762038739,-0.0034305350967892,-0.0250266697172463,0.0194495596158576
158,-0.0345713440650886,-0.0284794713218685,-0.0278146881828771,-0.0050977170716687,-0.0331908195917474,-0.0013708021337787,0.0036050509702754
159,-0.0280273122546558,-0.0224728558520586,-0.0312525435041045,-0.0017050302510838,0.0030149885391007,-0.0027472544751388,0.0194027072748528
160,0.0077220460939103,0.0,-0.0627764061441718,0.005106394074574,0.0040646870489611,-0.0250709510013919,0.0
161,0.0102041701742416,0.0090498355199178,0.0167601688574651,-0.0102389973010943,-0.0280801781321142,0.0153956854779734,0.0151783415990656
